channel_id,video_id,title,summary,views_in_period
UC510QYlOlKNyhy_zdQxnGYw,mFQ5w4iG380,Soldiers Who were Intoxicated in Battle,"The video recounts remarkable stories of soldiers in various wars—including the Vietnam, World Wars, and the Philippine-American conflict—whose bravery, endurance, or unconventional actions were often fueled or affected by drugs, alcohol, or sheer willpower, highlighting both their exploits and the complex realities of combat.",3301
UC510QYlOlKNyhy_zdQxnGYw,-NMfpDSWM1g,Stupid Things that Bored Soldiers Do,"The video warns soldiers against reckless actions like lighting cigarettes with flamethrowers, cooking with C4, and drinking from gun barrels, explaining how such behaviors endanger lives, create serious health risks, and complicate medics' efforts during warfare.",1898
UC510QYlOlKNyhy_zdQxnGYw,DIVmnxOKy1w,Unique uses for Guns,"This video explores the history of unusual and innovative firearms from the 20th century—including the drip rifle, curved-barrel guns, anti-tank rifles, underwater weapons, and periscope rifles—detailing their design, use, and impact on warfare.",267
UC510QYlOlKNyhy_zdQxnGYw,K6ZKjgriqPY,Napoleon's War On RABBITS,"In this video, Napoleon recounts surviving assassination attempts, his infamous rabbit attack, discovering the Rosetta Stone, and his tumultuous relationship with Josephine, reflecting on his legacy and personal life before his exile.",284
UC510QYlOlKNyhy_zdQxnGYw,xSFmqxfzVME,Russia's Secret Wonder Weapon,"The video explores the history and significance of the tachanka, a horse-drawn machine gun cart used primarily by Russian and Eastern European forces during the early 20th century, highlighting its role in mobile warfare before being replaced by modern vehicles.",268
UC510QYlOlKNyhy_zdQxnGYw,DbuouUYiyNc,The CAT Who Refused To Die In WWII,"The video tells the legendary story of Unsinkable Sam, a cat who supposedly survived the sinking of three ships during World War II, symbolizing hope and the special bond between sailors and their feline companions, though his true existence is debated.",1236
UC510QYlOlKNyhy_zdQxnGYw,im8pRVZuatg,Why Falling Asleep is FATAL in War,The video explains the critical dangers of falling asleep during war—ranging from personal execution and friendly fire to lost battles and entire wars—illustrated with historical examples where sleep deprivation or dozing off led to deadly and disastrous consequences.,949
UC510QYlOlKNyhy_zdQxnGYw,Mq22w71SBq4,Real Life GTA Moments in History,"This video explores notable criminal events and organizations—including a 1995 San Diego tank rampage, the violent history of Japan’s Yakuza, notorious outlaws like Ned Kelly and Charles Bronson, inventive prison weapons, and the evolution and tactics of elite police and FBI units such as SWAT and the Hostage Rescue Team.",4197
UC510QYlOlKNyhy_zdQxnGYw,C4nu_jbrOpE,Most Unfair Wars in History,"This video explores five of the most one-sided wars in history—including the Anglo-Zanzibar War, Persian Gulf War, U.S. invasion of Grenada, Italian invasion of Ethiopia, and the Spanish-American War—highlighting overwhelming disparities in military power and resulting swift victories.",27559
UC510QYlOlKNyhy_zdQxnGYw,bzlIwCZ1FNs,The Best Tank of WW2,"The video details the development, combat history, strengths, and weaknesses of the Soviet T-34 tank, explaining how its innovative design, mass production, and battlefield performance made it a legendary and decisive weapon in World War II.",4255
UC510QYlOlKNyhy_zdQxnGYw,_4KQpJpbwDc,1000 Yard Stare,"The video explores the origins, symptoms, and evolving misunderstandings of ""shell shock"" (now known as PTSD) among World War I soldiers, highlighting its devastating impact, mistreatment, stigma as cowardice, and the long-delayed official recognition of sufferers' suffering.",3959
UC510QYlOlKNyhy_zdQxnGYw,Me9GFczAC2U,UNSTOPPABLE Chinese Soldier who Blocked a Machine Gun with his Body - Korean War,"The video recounts the heroic actions of Wang Jicang, a Chinese soldier during the Korean War, who sacrificed himself to block a machine gun and enable his unit's advance at Triangle Hill, making him a celebrated national hero in China.",725
UC510QYlOlKNyhy_zdQxnGYw,CoPfYGgzCkM,The Rules of war ALL Soldiers MUST OBEY,"The video explains the history and principles of international laws and conventions governing warfare, focusing on protections for non-combatants—especially medics—prohibited tactics, and banned weapons, while highlighting violations and the evolution of rules to minimize unnecessary suffering in armed conflict.",3858
UC510QYlOlKNyhy_zdQxnGYw,eGymx0kJRq0,Stereotypical Ways Countries Fight Wars,"The video explores the distinctive war strategies and doctrines of major nations—including the US's emphasis on technological superiority and logistics, Germany's defensive fortifications, China's combined arms and perception of mass infantry, Russia's deep battle and attrition, Vietnam's guerrilla tactics, and France's precision strikes with small, agile forces.",3750
UC510QYlOlKNyhy_zdQxnGYw,RTIOOxB4IAY,Overpowered Guns used to Cheat in Battle,"The video explores how various weapons—including shotguns, Uzis, crossbows, air rifles, bayonets, Gatling guns, Tommy guns, and needle guns—were viewed as unfair, dishonorable, or controversial in warfare due to their technological advantages or perceived cruelty.",33704
UC510QYlOlKNyhy_zdQxnGYw,_DRW-N8NYaI,Life Under Evil Communist Regimes,"This video explores the horrors and human cost of 20th-century totalitarian regimes, including the Khmer Rouge in Cambodia, Stalin’s Soviet Union, Mao’s Great Leap Forward in China, and North Korea’s Kim dynasty, focusing on famine, repression, and mass atrocities.",7871
UC510QYlOlKNyhy_zdQxnGYw,0PBgtlsO9c4,What Makes a Good Gun Design,"The video explores the evolution and innovation of gun upgrades, magazine placements, special forces loadouts, and fundamental shooting stances, illustrating how practicality, engineering, and combat experience shape weapon design and effective firearm handling throughout history.",1658
UC510QYlOlKNyhy_zdQxnGYw,oj5k89auJ2E,Allies and Axis Working Together in WW2,"The video explores rare instances during World War II when Allied and Axis soldiers aided or even cooperated with each other, often due to personal convictions or unique circumstances, highlighting events like the Battle for Castle Itter and individuals who switched sides.",1723
UC510QYlOlKNyhy_zdQxnGYw,JvtHmsqnh7k,Imperial Japan's Lost Tiger Tank of WW2,"This video explains how Japan attempted to acquire German Tiger tanks during World War II to counter superior American armor in the Pacific, but due to logistical challenges and the Allied invasion of Europe, the tank never reached Japan or saw combat there.",3067
UC510QYlOlKNyhy_zdQxnGYw,ENuzZNYbJgU,The REAL One Man Army (Compilation),"The video recounts the extraordinary wartime exploits and heroism of five soldiers from different eras and nationalities, including Leo Major, Ben L. Salomon, Adrian Carton de Wiart, Christian Craighead, and Hiromichi Shinohara, each of whom performed remarkable feats of bravery and earned distinguished recognition.",5957
UC510QYlOlKNyhy_zdQxnGYw,rIJnGr-ms3U,Maverick 41 - The Story Of Craig Harrison's Sniper Record,"The video recounts how British sniper Craig Harrison set a record in Afghanistan in 2009 by achieving the longest confirmed double kill at 2,475 meters, protecting his comrades in combat and later facing serious personal consequences due to his identity being revealed.",724
UC510QYlOlKNyhy_zdQxnGYw,w53D44R3db4,North Korean Pilot's Daring Defection,"The video recounts the dramatic 1953 defection of North Korean fighter pilot No Kum-Sok, who escaped to South Korea with a MiG-15 jet, earning $100,000 and U.S. citizenship while providing valuable intelligence to the Americans.",3718
UC510QYlOlKNyhy_zdQxnGYw,4Ep-SWif6-o,The Worst Betrayals in History,"This video recounts five of history’s most infamous wartime betrayals—by the British at Mers-el-Kébir, Canadian leadership in Hong Kong, Benedict Arnold, Vidkun Quisling, and the Fourth Crusade’s sack of Constantinople—highlighting their devastating impact on wars and trust among allies.",5258
UC510QYlOlKNyhy_zdQxnGYw,Uy25sg_NDUQ,Useless Overweight Tanks of WW2,"The video explores several oversized, experimental tanks from World War II—including Germany's Jagdtiger and GW Tiger P, Hungary's 44M Tas, Britain's TOG II, and the A39 Tortoise—highlighting their massive size, design aims, operational failures, and ultimate obsolescence.",2894
UC510QYlOlKNyhy_zdQxnGYw,hYMwhrYB3u0,Weirdest Attempts to Cross the Berlin Wall (1961-1989),"This video recounts daring and inventive escape attempts from East Germany between 1961 and 1989, illustrating the risks people took for freedom and culminating in the fall of the Berlin Wall, which marked the end of communist rule in Eastern Europe.",2399
UC510QYlOlKNyhy_zdQxnGYw,hdwQGjmRAI0,Do Soldiers Really Shoot to Kill?,"The video explores whether soldiers truly ""shoot to kill,"" detailing how psychological reluctance to kill is common, military training aims to overcome this, and while willingness to kill has increased over time, studies remain inconclusive and the true extent is hard to quantify.",2812
UC510QYlOlKNyhy_zdQxnGYw,KxbTDruQOCU,Why Soldiers Brought These Weird Items To War,"The video explores the superstitions and rituals of 20th-century soldiers—including lucky charms, mascot animals, special clothing, and unique pre-battle routines—used to cope with the fears, dangers, and uncertainty of war.",382
UC510QYlOlKNyhy_zdQxnGYw,MSw0PUCuZUo,Soldier's Mental Health After the War is Over,"The video examines Gulf War syndrome—its mysterious symptoms, evolving research, and recent findings linking it mainly to low-level sarin exposure—as well as the historical mistreatment and neglect of psychologically and physically disabled war veterans, particularly after World War I.",791
UC510QYlOlKNyhy_zdQxnGYw,2j7v13dwd0U,Hitler's Crazy Plan to Sabotage the United States,"Operation Pastorius was a failed 1942 Nazi plot to sabotage American infrastructure that quickly collapsed when two team members betrayed the mission, leading to the arrest and execution or imprisonment of all eight spies before any attacks occurred.",469
UC510QYlOlKNyhy_zdQxnGYw,0DIHeTrm4WI,Cursed Guns History Should Forget,"The video explores several notorious firearms—from the M50 Reising submachine gun to the USFA Zip 22, Apache revolver, and CSRG Chauchat—detailing their design flaws, reliability issues, and reputations as some of the worst guns ever made.",15582
UC510QYlOlKNyhy_zdQxnGYw,cOoz_69xzBE,Military Deceptions That NO ONE Saw Coming,"This video details the history and use of military deception tactics—including decoy equipment and false identities—across the two World Wars, highlighting ingenious strategies like dummy tanks, sniper dummies, and operations such as Mincemeat that misled enemy forces.",1119
UC510QYlOlKNyhy_zdQxnGYw,P-u81K6KrXU,"No, Silencers on Guns are NOT Silent","This video debunks common gun myths perpetuated by movies and video games, including misconceptions about silencers, flamethrowers, shooting ropes, bullet impacts, gun safety when dropped, and the dangers of blank rounds.",960
UC510QYlOlKNyhy_zdQxnGYw,WFGTeaA7qsY,The True Story of a Forsaken WW1 Tank Crew,"The crew of the British WWI tank ""Frey Bentos"" survived three days trapped between enemy lines during the 1917 Battle of Passchendaele, enduring horrific conditions and heavy fire to prevent their tank from being captured, becoming the war's most decorated tank crew.",1419
UC510QYlOlKNyhy_zdQxnGYw,dP0fH4I2VkU,Guns Disguised as Everyday Objects,"The video explores the history and design of disguised firearms—such as briefcase guns, pen and cane guns, glove guns, and covert assassination devices—highlighting their intended use for concealment, espionage, or surprise attacks, and their impact on warfare and spycraft.",3545
UC510QYlOlKNyhy_zdQxnGYw,rFlMupRFe70,Why Did So Many N*zis Escape To Argentina?,"After World War II, numerous high-ranking Nazis—including Adolf Eichmann, Franz Stangl, and Josef Mengele—escaped justice by fleeing via secret networks, often aided by sympathizers and the Vatican, to Argentina, which welcomed them under President Perón's regime.",2887
UC510QYlOlKNyhy_zdQxnGYw,UC0EFtyiJng,The Real Story Behind Devotion: Jesse Brown and the Korean War,"The video tells the heroic story of Jesse Leroy Brown, the first African-American naval aviator, highlighting his bravery, tragic death during the Korean War, and lasting impact in breaking racial barriers within the U.S. military.",309
UC510QYlOlKNyhy_zdQxnGYw,_UECUpL0-BU,The WORST Military Defeats in History,"The video recounts several historical battles where smaller or seemingly weaker forces—such as the Vietnamese, Indians at Longewala, Hannibal at Cannae, Nazi scouts in Belgrade, and Māori at Gate Pā—defeated or humiliated much larger, better-equipped militaries through superior tactics, courage, or surprise.",10140
UC510QYlOlKNyhy_zdQxnGYw,I-yg_3yx6iA,Things They DON'T Teach You About The Korean War,"This video reveals surprising and overlooked facts about the Korean War, including its status as the first jet-vs-jet conflict, repeated captures of Seoul, severe cold-related casualties, its ongoing unresolved status, international involvement, and its role as the first desegregated US conflict.",3305
UC510QYlOlKNyhy_zdQxnGYw,Sy2unO22PUE,Acid Gambit - The Most Dangerous Delta Force Mission,"Operation Acid Gambit was a daring 1989 Delta Force mission that successfully rescued American Kurt Muse from a Panamanian prison during the US invasion, despite intense combat, a helicopter crash, and numerous near-fatal complications.",734
UC510QYlOlKNyhy_zdQxnGYw,v_jNWXwxmCM,Why YOU NEVER Volunteer In War First,"The video explains why volunteering for certain roles in war—such as mustard gas experiments, night watch, latrine duty, being a ""canary girl,"" or a frontline medic—is especially dangerous and often leads to severe long-term physical and psychological harm.",1521
UC510QYlOlKNyhy_zdQxnGYw,aeXzbZsDWvk,Why The Military Is TERRIFIED Of A 'Broken Arrow',"The video explains the military code ""Broken Arrow,"" highlighting its rare use as a distress signal for imminent danger of being overrun in battle and as a term for nuclear weapon accidents, both indicating situations of extreme crisis.",2726
UC510QYlOlKNyhy_zdQxnGYw,NNmBOnBFvYo,The Soldiers STILL Fighting After WW2 Ended Into The 1950s,"This video details the stories of Japanese soldiers who, due to isolation, disbelief, or adherence to Bushido, continued hiding and fighting on remote Pacific islands for years—and even decades—after World War II had officially ended in 1945.",957
UC510QYlOlKNyhy_zdQxnGYw,LmXuoNt9nPA,The BIGGEST Accidents In War,"This video recounts five of the worst accidental disasters in military history—including the USS Thresher sinking, Operation Cobra friendly fire, the failed Desert One hostage rescue, the Sultana steamboat tragedy, and the 1980 Titan II missile explosion—highlighting how complex systems can fail catastrophically from simple mistakes.",1427
UC510QYlOlKNyhy_zdQxnGYw,wrONky9p1Qs,The Most NOTABLE Assassinations In History,"The video explores the assassinations or attempted assassinations of key historical figures—including John F. Kennedy, Theodore Roosevelt, Archduke Franz Ferdinand, Adolf Hitler (Operation Valkyrie), and King William II—analyzing events, motivations, controversies, and their far-reaching impacts on world history.",19773
UC510QYlOlKNyhy_zdQxnGYw,TvN_q0QGNAs,The History Of Nuclear Fallout (Compilation),"This video explores the development and dangers of nuclear weapons from World War II to the Cold War, covering the Cuban Missile Crisis, fallout shelters, nuclear accidents (""Broken Arrow""), and the doctrine of mutually assured destruction, ultimately illustrating humanity’s ongoing vulnerability to nuclear annihilation.",273
UC510QYlOlKNyhy_zdQxnGYw,CvE-r4ver5I,Life Inside A Panther Turret Bunker (Cross Section),"During World War II, Germany repurposed surplus Panther tank turrets into heavily armored stationary bunkers—known as ""Pantherturm""—to reinforce defensive lines, making efficient use of available resources in response to mounting losses and logistical challenges.",53229
UC510QYlOlKNyhy_zdQxnGYw,u1l0QRmajXM,History's Biggest Disappointments,"This video explores some of history’s greatest letdowns—such as the Titanic, the Gallipoli campaign, the Warsaw Uprising, the Spanish Armada, the Maji Maji Rebellion, and Roman Emperor Didius Julianus—where soaring expectations ended in disastrous reality.",20957
UC510QYlOlKNyhy_zdQxnGYw,ZWcCCS8NIgU,Life Inside a Medieval Castle (Cross Section),"The video explains the structure, purpose, and daily life within medieval castles, highlighting their roles as fortified residences for nobility, centers of community and defense, and enduring symbols of power across Europe.",13111
UC510QYlOlKNyhy_zdQxnGYw,OPz0e5762Rk,Paranoia After The Vietnam War (PTSD),"This video explains how the Vietnam War contributed to widespread, long-lasting PTSD among veterans—marked by debilitating flashbacks and health issues—due to the war’s traumatic experiences, societal stigma, and lack of early mental health support.",1489
UC510QYlOlKNyhy_zdQxnGYw,7GCMonoxkrg,Life Inside A Sturmtiger Tank (Cross Section),"The video provides a detailed history and technical overview of the German World War II Sturm Tiger assault vehicle, highlighting its design, armament, combat role, limited production, and minimal impact on the war due to its late introduction and small numbers.",10118
UC510QYlOlKNyhy_zdQxnGYw,A4qtU2w1YpE,Police & S.W.A.T. Tactics (Compilation),"This video explores the origins, evolution, training, tactics, and equipment of police special units like SWAT and the FBI Hostage Rescue Team, their roles in law enforcement and counterterrorism, and the historical use of shields and formations in modern riot control.",3790
UC510QYlOlKNyhy_zdQxnGYw,VdiBxXmJMMw,American VS British WWII Bombing Tactics - Which Was Better?,"The video explains how the American and British air forces conducted contrasting daylight and nighttime strategic bombing campaigns against Germany in World War II, discussing their objectives, methods, effectiveness, and the significant civilian toll and ongoing controversy over their impact.",1248
UC510QYlOlKNyhy_zdQxnGYw,YaSuzORmwlE,The YouTube Prank That Accidentally Killed Kim Jong Un's Brother,"This video details how two women, unknowingly recruited for a ""prank,"" assassinated Kim Jong-nam—the half-brother of North Korean leader Kim Jong-un—with a VX nerve agent at a Malaysian airport in 2017, sparking international intrigue and diplomatic crisis.",1290
UC510QYlOlKNyhy_zdQxnGYw,-FrIK383mj0,Most Dangerous Career Paths To Take In The Modern Military,"The video highlights some of the most dangerous military jobs—including EOD technicians, forward observers, combat medics, and war correspondents—explaining the extreme risks and high stress they face in combat zones.",254
UC510QYlOlKNyhy_zdQxnGYw,TMw61C8Reds,Everything You Need To Know About D-Day,"The video provides an in-depth account of the D-Day landings at Omaha Beach on June 6, 1944, detailing the challenges, heavy casualties, equipment, firsthand experiences—including that of German defender Hinrich Seelow—and the pivotal role of American paratroopers in the Normandy invasion.",549
UC510QYlOlKNyhy_zdQxnGYw,m8QntyaT4lg,The REAL History Behind Assassin's Creed Shadows,"The video analyzes the Assassin's Creed Shadows trailer, highlighting its historical accuracy in depicting feudal Japan, including figures like Oda Nobunaga, the arrival of Europeans, and the roles of samurai Yasuke and ninja Naoe as protagonists in the upcoming game.",193
UC510QYlOlKNyhy_zdQxnGYw,vIaEgrhC63U,GIANT Soldiers Of War,"The video recounts the extraordinary lives of two exceptionally tall soldiers—Woodrow ""Woody"" Keeble, a heroic Dakota warrior of the Korean War posthumously awarded the Medal of Honor, and Jakob Nacken, Germany’s tallest WWII soldier turned postwar entertainer.",413
UC510QYlOlKNyhy_zdQxnGYw,PAF2AWAh4gU,The Most TERRIFYING Things To See In War,"The video explores some of the most horrifying events in wartime history—including the use of napalm, mass executions, Holocaust death marches, atomic bombings, and cavalry charges—highlighting the enduring psychological and physical trauma inflicted by these atrocities.",524
UC510QYlOlKNyhy_zdQxnGYw,PMgkEGcXDCA,Samurai VS Knight - The ULTIMATE Battle,"The video compares a 16th-century European medieval knight and a Japanese samurai in various combat scenarios, ultimately concluding that the knight wins in most close-quarter battles due to superior armor and weapons, while the samurai prevails with firearms.",803
UC510QYlOlKNyhy_zdQxnGYw,StVqimV856o,The OLDEST Soldier On Omaha Beach - D-Day (1944),"Norman “Dutch” Cota, one of the oldest soldiers on Omaha Beach at age 51, played a pivotal role in rallying and leading American forces during D-Day, earning the Distinguished Service Cross and enduring both success and setbacks throughout his World War II military career.",1256
UC510QYlOlKNyhy_zdQxnGYw,gh9v8S592Zc,Biggest Military Screwups In History,"This video explores infamous military disasters and underdog victories throughout history, highlighting how miscommunication, incompetence, or sheer luck have led to catastrophic blunders, unexpected triumphs, and accidental tragedies in warfare.",6530
UC510QYlOlKNyhy_zdQxnGYw,L72o6Y-kPrw,POV: You Wake Up In The Tet Offensive (1968),"This video offers a first-person guide for US Marines on surviving the Tet Offensive in Vietnam, detailing essential strategies for vigilance, urban combat, booby trap avoidance, and maintaining readiness during the unexpected attacks of early 1968.",1472
UC510QYlOlKNyhy_zdQxnGYw,hpz-w7vTDMA,Life Inside The Flattest Tank - STRV 103 (Cross Section),"The Stridsvagn 103, an innovative Swedish turretless main battle tank designed for defensive warfare during the Cold War, featured a low silhouette, fixed gun, and advanced suspension but never saw combat and was ultimately a unique but dead-end development in tank design.",59299
UC510QYlOlKNyhy_zdQxnGYw,aXvdmuFcmzM,The Perfect Medieval Siege Tactic,"The video explores the history and evolution of sapping—undermining walls through tunneling—as a siege tactic from ancient times through the medieval era and into modern warfare, highlighting notable examples and advancements across centuries.",889
UC510QYlOlKNyhy_zdQxnGYw,zx0L5fCh0AU,WW2 Guns Still Being Used Today,"This video explores several World War II-era weapons—such as the STG44, M2 Browning, Lee-Enfield rifle, MG42, Madsen LMG, M1911 pistol, M3 Grease Gun, M101 Howitzer, and D44 gun—that remain in use today by various militaries and insurgent groups worldwide.",49020
UC510QYlOlKNyhy_zdQxnGYw,z_zSOD5GNig,Pinochet - The Dictator Who Pushed His Enemies Out Of Helicopters,"This video details the brutal 17-year dictatorship of Augusto Pinochet in Chile, marked by severe human rights abuses including torture, executions, and the notorious ""death flights,"" with lasting impacts and limited justice for his victims.",2452
UC510QYlOlKNyhy_zdQxnGYw,pu-THWPxFg8,Life Inside The B-17 Flying Fortress (Cross Section),"This video details the development, variants, technical specifications, combat history, and legacy of the Boeing B-17 Flying Fortress bomber, highlighting its role in WWII and enduring fame, while also promoting the military game War Thunder.",493
UC510QYlOlKNyhy_zdQxnGYw,GOFHolwMV6s,Soldiers Who Didn't Know WW2 Was Long Over (Compilation),"The video explores extraordinary cases of soldiers who continued hiding or fighting for years or decades after major wars had ended—such as Vietnamese, Japanese, and Nazi German holdouts—highlighting the persistent psychological and societal impacts of war.",200
UC510QYlOlKNyhy_zdQxnGYw,1n4aM8gWWxo,Oversized Guns,"This video explores the history and purposes of various oversized firearms—including punt guns for hunting, giant training rifles, anti-tank weapons, and the Afghan jezail musket—highlighting their unique roles, impact, and eventual obsolescence, with an ad for Invideo AI at the end.",26655
UC510QYlOlKNyhy_zdQxnGYw,uEpgG_WP_mY,When The U.S. Allied With North Korea,"The video recounts the 2007 Dihong Dan incident, where U.S. Navy forces assisted North Korean sailors in repelling Somali pirates, resulting in rare cooperation and public gratitude between two traditionally hostile nations.",3260
